;word
4316;сокращение времени в пути на маршруте от москвы до казани (v1)
4317;доля отечественного оборудования (товаров, работ, услуг) в общем объеме закупок (v1)
4318;"протяженность участков скоростной автомобильной дороги м-12 москва –нижний новгород – казань, входящей в состав международного транспортного коридора  ""европа - западный китай"", построенных в рамках федерального проекта (v1)"
4319;доля закупки отечественной продукции, производимой оборонно-промышленным комплексом (от доли закупаемого отечественного оборудования) (v1)
4320;доля автомобильных дорог высшей технической категории в составе маршрута 'европа - западный китай' (v1)
4321;"протяженность введенных в эксплуатацию участков автодорожного обхода г. тольятти с мостовым переходом через р. волгу в составе международного транспортного маршрута ""европа - западный китай"" (v1)"
4322;объем перевозок грузов в акватории северного морского пути (v3)
4323;суммарная мощность морских портов в акватории северного морского пути
4324;прирост производственной мощности морских портов (v2)
4325;доля закупок отечественного оборудования (товаров, работ, услуг) от общего объема закупок, в том числе произведенного предприятиями оборонно-промышленного комплекса
4326;сроки доставки транзитных контейнерных перевозок на направление 'север - юг' (красное, порты и погранпереходы северо-запада - самур) (vг)
4327;сроки доставки транзитных контейнерных перевозок на направление 'европа - западный китай' (красное - илецк, озинки, карталы, петропавловск) (vг)
4328;сроки доставки транзитных контейнерных перевозок на направление 'запад - восток' (красное, порты и погранпереходы северо-запада - наушки, забайкальск, порты и погранпереходы дальнего востока) (vг)
4329;суммарная провозная способность магистралей (vг)
4330;объем транзитных перевозки контейнеров (штук в 20-футовом эквиваленте (дфэ) (vг)
4331;доля закупок отечественного оборудования от общего объема закупок в рамках реализации по увеличению пропускной и провозной способности инфраструктуры для увеличения транзитного контейнеропотока в 4 раза, в т.ч. транссиб за 7 суток
4332;суммарная провозная способность участков железнодорожных подходов к морским портам азово-черноморскиого бассейна. (vд)
4333;суммарная провозная способность участков на подходах к саратовскому узлу приволжской железной дороги
4334;доля закупок отечественного оборудования от общего объема закупок в рамках реализации проекта по развитию и обновлению железнодорожной инфраструктуры на подходах к портам азово-черноморского бассейна
4335;суммарная провозная способность участков на подходах к морским портам северо-западного бассейна
4336;доля закупок отечественного оборудования от общего объема закупок в рамках реализации проекта по развитию и обновлению железнодорожной инфраструктуры на подходах к портам северо-западного бассейна
4337;протяженность линии по электрификации направления ожерелье-узловая -елец
4338;протяженность линий реконструкции ожерелье - елец и воронеж (придача) - горячий ключ
4339;протяженность новой железнодорожной линии елец - воронеж
4340;протяженность новой железнодорожной линии кривенковская - сочи (о.п. мамайка): 1 этап - двухпутная электифицированная линия ст. кривенковская - калеж с однопутным ответвлением до ст. лазаревская, 2 этап - продление линии от проектируемой ст. калеж до сочи (о.п. мамайка)
4341;время в пути следования по маршруту москва - адлер
4342;пассажиропоток в пригородном железнодорожном сообщении московского транспортного узла (vж)
4343;эксплуатационная длина дополнительных v и vi путей на участке москва - алабушево под специализированное пассажирское сообщение
4344;численность беженцев по данным фмс россии (по 2014 год)
4345;численность беженцев с начала регистрации по данным фмс россии (по 2015 год)
4346;численность беженцев, обжалующих отрицательные решения, по данным фмс россии (по 2010 год)
4347;численность беженцев, поставленных на учет, прибывших из других субъектов рф, по данным фмс россии (по 2010 год)
4348;численность беженцев, снятых с учета, из числа получивших статус в текущем году, по данным фмс россии (по 2010 год)
4349;численность беженцев, снятых с учета, по данным фмс россии (по 2010 год)
4350;численность лиц, в отношении которых проведено повторное рассмотрение ходатайства в результате обжалования, по данным фмс россии (по 2010 год)
4351;численность лиц, ходатайствующих о признании беженцем с начала регистрации, по данным фмс россии (по 2010 год)
4352;численность лиц, ходатайствующих о признании беженцем, обжалующих отрицательные решения, по данным фмс россии (по 2010 год)
4353;численность лиц, ходатайствующих о признании беженцем, по данным фмс россии (по 2015 год)
4354;численность лиц, ходатайствующих о признании беженцем, прибывших в порядке направления из других субъектов рф, по данным фмс россии (по 2010 год)
4355;численность лиц, ходатайствующих о признании беженцем, снятых с учета, из числа получивших статус в текущем году, по данным фмс россии (по 2010 год) 
4356;численность лиц, ходатайствующих о признании беженцем, снятых с учета, по данным фмс россии (по 2010 год)
4357;численность обратившихся с ходатайством о признании беженцем по данным фмс россии (по 2010 год)
4358;численность признанных беженцами по данным фмс россии (по 2014 год)
4359;численность признанных беженцами по рождению по данным фмс россии (по 2010 год)
4360;число семей беженцев по данным фмс россии (по 2010 год)
4361;число семей беженцев с начала регистрации по данным фмс россии (по 2010 год)
4362;число семей беженцев, обжалующих отрицательные решения, по данным фмс россии (по 2010 год)
4363;число семей беженцев, прибывших из других субъектов рф, по данным фмс россии (по 2010 год)
4364;число семей беженцев, снятых с учета, из числа получивших статус в текущем году, по данным фмс россии (по 2010 год)
4365;число семей беженцев, снятых с учета, по данным фмс россии (по 2010 год)
4366;число семей лиц, в отношении которых проведено повторное рассмотрение ходатайства в результате обжалования, по данным фмс россии (по 2010 год)
4367;число семей лиц, ходатайствующих о признании беженцем с начала регистрации, по данным фмс россии (по 2010 год)
4368;число семей лиц, ходатайствующих о признании беженцем, обжалующих отрицательные решения, по данным фмс россии (по 2010 год)
4369;число семей лиц, ходатайствующих о признании беженцем, по данным фмс россии (по 2010 год)
4370;число семей лиц, ходатайствующих о признании беженцем, прибывших в порядке направления из других субъектов рф, по данным фмс россии (по 2010 год)
4371;число семей лиц, ходатайствующих о признании беженцем, снятых с учета, из числа получивших статус в текущем году, по данным фмс россии (по 2010 год)
4372;число семей лиц, ходатайствующих о признании беженцем, снятых с учета, по данным фмс россии (по 2010 год)
4373;число семей, обратившихся с ходатайством о признании беженцами, по данным фмс россии (по 2010 год)
4374;число семей, признанных беженцами по рождению, по данным фмс россии (по 2010 год)
4375;число семей, признанных беженцами, по данным фмс россии (по 2010 год)
4376;численность вынужденных переселенцев из чеченской республики по данным фмс россии (по 2015 год)
4377;численность вынужденных переселенцев по данным фмс россии (по 2010 год)
4378;численность вынужденных переселенцев с начала регистрации по данным фмс россии (по 2015 год)
4379;численность вынужденных переселенцев, прибывших в порядке направления из других субъектов рф, по данным фмс россии (по 2010 год)
4380;численность вынужденных переселенцев, снятых с учета, из числа получивших статус в текущем году, по данным фмс россии (по 2010 год)
4381;численность вынужденных переселенцев, снятых с учета, по данным фмс россии (по 2010 год)
4382;численность лиц, в отношении которых рассмотрены ходатайства о признании вынужденными переселенцами, по данным фмс россии (по 2010 год)
4383;численность лиц, обратившихся с ходатайством о признании вынужденными переселенцами, по данным фмс россии (по 2015 год)
4384;численность лиц, признанных вынужденными переселенцами, по данным фмс россии (по 2015 год)
4385;число семей вынужденных переселенцев по данным фмс россии (по 2010 год)
4386;число семей вынужденных переселенцев с начала регистрации по данным фмс россии (по 2014 год)
4387;число семей вынужденных переселенцев, прибывших в порядке направления из других субъектов рф, по данным фмс россии (по 2010 год)
4388;число семей вынужденных переселенцев, снятых с учета, из числа получивших статус в текущем году, по данным фмс россии (по 2010 год)
4389;число семей вынужденных переселенцев, снятых с учета, по данным фмс россии (по 2010 год)
4390;число семей, в отношении которых рассмотрены ходатайства о признании вынужденными переселенцами, по данным фмс россии (по 2010 год)
4391;число семей, обратившихся с ходатайством о признании вынужденными переселенцами, по данным фмс россии (по 2015 год)
4392;число семей, признанных вынужденными переселенцами, по данным фмс россии (по 2015 год)
4393;сведения о лицах, получивших в территориальных органах фмс россии свидетельства участника государственной программы по оказанию содействия добровольному переселению в российскую федерацию соотечественников, проживающих за рубежом, и членах их семей, по данным фмс россии (по 2014 год)
4394;количество объектов недвижимого имущества, переданных из федеральной собственности в собственность субъектов российской федерации и в муниципальную собственность
4395;количество объектов недвижимого имущества, принятых в федеральную собственность из собственности субъектов российской федерации и в муниципальной собственности
4396;объем полезного отпуска электрической энергии
4397;отпущено произведенной (приобретенной) тепловой энергии потребителям через тепловую сеть
4398;отпущено тепловой энергии потребителям с коллекторов электростанций (котельных)
4399;стоимость отпущенной произведенной (приобретенной) тепловой энергии потребителям через тепловую сеть
4400;стоимость отпущенной тепловой энергии потребителям с коллекторов электростанций (котельных)
4401;стоимость отпущенной электрической энергии
4402;объем отпущенной электроэнергии распределительными сетевыми организациями отдельным категориям потребителей
4403;стоимость отпущенной электроэнергии распределительными сетевыми организациями отдельным категориям потребителей
4404;сведения о фактическом росте платы граждан за коммунальные услуги по субъекту российской федерации
4405;общее количество наложенных административных штрафов
4406;общее количество проверок, по итогам проведения которых выявлены правонарушения
4407;общее количество проверок, по итогам проведения которых по фактам выявленных правонарушений возбуждены дела об административных правонарушениях
4408;общее количество проверок, проведенных в отношении юридических лиц, индивидуальных предпринимателей
4409;общее количество юридических лиц, индивидуальных предпринимателей, в ходе проведения проверок в отношении которых выявлены правонарушения
4410;количество лицензий, по которым принято решение о прекращении действия лицензий
4411;количество рассмотренных заявлений о переоформлении лицензий
4412;количество рассмотренных заявлений о предоставлении лицензий
4413;количество решений об отказе в предоставлении, продлении срока действия, переоформлении, о прекращении действия лицензии, отмененных судом
4414;общее количество действующих лицензий
4415;доля вич-инфицированных лиц, получающих антиретровирусную терапию, от числа состоящих на диспансерном учёте
4416;доля вич-инфицированных лиц, состоящих на диспансерном учёте, от числа выявленных
4417;охват пар «мать – дитя»  химиопрофилактикой в соответствии с действующими стандартами
4418;доля больных с выявленными злокачественными новообразованиями на  i-ii ст.
4419;одногодичная летальность больных со злокачественными новообразованиями
4420;удельный вес больных злокачественными новообразованиями, состоящих на учете с момента установления диагноза 5 лет и более, %
4421;доля абацилированных больных туберкулёзом от числа больных туберкулёзом с бактериовыделением
4422;заболеваемость с впервые в жизни установленным диагнозом туберкулеза органов дыхания на 100 тыс. населения
4423;число зарегистрированных больных с впервые в жизни установленным диагнозом активного туберкулеза
4424;заболеваемость с впервые в жизни установленным диагнозом сифилиса на 100 тыс. населения
4425;число зарегистрированных больных с впервые в жизни установленным диагнозом сифилиса
4426;доля больных психическими расстройствами, повторно госпитализированных в течение года
4427;заболеваемость с впервые в жизни установленным диагнозом психического расстройства и расстройствами поведения на 100 тыс. населения
4428;заболеваемость с диагнозом психического расстройства и расстройствами поведения на 100 тыс. населения
4429;число зарегистрированных больных с впервые в жизни установленным диагнозом психического расстройства и расстройствами поведения
4430;число зарегистрированных больных с диагнозом психического расстройства и расстройствами поведения
4431;доля больных алкоголизмом, повторно госпитализированных в течение года
4432;доля больных наркоманиями, повторно госпитализированных в течение года
4433;заболеваемость с впервые в жизни установленным диагнозом алкоголизма и алкогольного психоза на 100 тыс.  населения
4434;заболеваемость с впервые в жизни установленным диагнозом наркомании на 100 тыс.  населения
4435;число больных алкоголизмом, находящихся в ремиссии более 2 лет
4436;число больных алкоголизмом, находящихся в ремиссии от 1 года до 2 лет
4437;число зарегистрированных больных с впервые в жизни установленным диагнозом алкоголизма и алкогольного психоза, человек
4438;число зарегистрированных больных с впервые в жизни установленным диагнозом наркомании
4439;число наркологических больных, находящихся в ремиссии более 2 лет
4440;число наркологических больных, находящихся в ремиссии от 1 года до 2 лет
4441;заболеваемость проживающих в районе обслуживания лечебного учреждения  на 100 тыс.человек населения
4442;число зарегистрированных заболеваний у больных, проживающих в районе обслуживания лечебного учреждения
4443;число прерываний беременности
4444;число заболеваний, зарегистрированных  у лиц, принимавших участие в ликвидации последствий аварии на чернобыльской аэс
4445;число лиц, принимавших участие в ликвидации последствий аварии на чернобыльской аэс, состоящих под наблюдением на конец отчетного года, включенных в медико-дозиметрический регистр
4446;средняя продолжительность 1 случая временной нетрудоспособности в связи с заболеванием
4447;число дней временной нетрудоспособности
4448;число дней временной нетрудоспособности на 100 работающих
4449;число случаев временной нетрудоспособности
4450;число случаев временной нетрудоспособности на 100 работающих
4451;число детей-инвалидов (0-17 лет), состоящих под наблюдением  в амбулаторно-поликлинических учреждениях, оказывающих медицинскую помощь детям
4452;охват аудиологическим скринингом
4453;охват неонатальным скринингом
4454;число детей и подростков-школьников по группам здоровья
4455;число заболеваний у детей 1 - го года жизни
4456;число принятых родов  с 22 недель беременности
4457;доля детей первой и второй групп здоровья в общей численности обучающихся в общеобразовательных учреждениях
4458;количество мест в домах ребенка
4459;поступило детей в дома ребенка
4460;число домов ребенка
4461;мощность амбулаторно-поликлинических учреждений, посещений в смену на 10 тыс. населения
4462;обеспеченность больничными койками на 10 тыс. населения
4463;обеспеченность местами в дневных стационарах на 10 тыс. населения
4464;средняя длительность пребывания больного в дневном стационаре
4465;средняя длительность пребывания больного на койке
4466;средняя занятость койки в году
4467;уровень госпитализации в дневные стационары на 100 человек населения
4468;уровень госпитализации в круглосуточные стационары на 100 человек населения
4469;численность лиц, которым оказана скорая медицинская помощь амбулаторно и при выездах
4470;численность лиц, которым оказана скорая медицинская помощь амбулаторно и при выездах на 1000 человек населения
4471;число больничных коек
4472;число дневных стационаров
4473;число мест в дневных стационарах
4474;число пролеченных больных на профпатологических койках
4475;число станций (отделений) скорой медицинской помощи
4476;больничная летальность детей
4477;больничная летальность пострадавших в результате дорожно–транспортных происшествий
4478;число операций, проведенных в стационаре
4479;охват населения профилактическими осмотрами на туберкулёз
4480;охват периодическими осмотрами лиц из числа обслуживаемых организаций и населения обслуживаемых территорий
4481;охват профилактическими медицинскими осмотрами детей
4482;среднее число посещений лечебно-профилактического учреждения на 1 жителя
4483;укомплектованность врачами профпатологами
4484;число травм,  отравлений и некоторых других последствий воздействия внешних причин
4485;численность беспризорных и безнадзорных  несовершеннолетних,       помещенных в лечебно-профилактические учреждения
4486;дефицит финансового обеспечения территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам российской федерации
4487;объем оказанной амбулаторной медицинской помощи в расчете на одного жителя
4488;объем оказанной медицинской помощи в дневных стационарах всех типов в расчете на одного жителя
4489;объем оказанной скорой медицинской помощи в расчете на одного жителя
4490;объем оказанной стационарной медицинской помощи в расчете на одного жителя
4491;объем расходов на оказание амбулаторной медицинской помощи в рамках территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам российской федерации
4492;объем расходов на оказание медицинской помощи в дневных стационарах всех типов в рамках территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам российской федерации
4493;объем расходов на оказание скорой медицинской помощи в рамках территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам российской федерации
4494;объем расходов на оказание стационарной медицинской помощи в рамках территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам российской федерации
4495;расходы консолидированного бюджета субъекта российской федерации на реализацию территориальной программы государственных гарантий оказания бесплатной медицинской помощи гражданам российской федерации на 1 жителя
4496;расходы средств обязательного медицинского страхования в расчете на 1 жителя вместо «расходы консолидированного бюджета субъекта российской федерации на здравоохранение (средства обязательного медицинского страхования) в расчете на 1 жителя»
4497;содержание 1 койки в государственных (муниципальных) учреждениях здравоохранения (без учета видов расходов, возмещаемых в рамках территориальной программы обязательного медицинского страхования)
4498;стоимость единицы объема оказанной амбулаторной медицинской помощи (фактическое значение)
4499;стоимость единицы объема оказанной медицинской помощи в дневных стационарах всех типов (фактическое значение)
4500;стоимость единицы объема оказанной скорой медицинской помощи (фактическое значение)
4501;стоимость единицы объема оказанной стационарной медицинской помощи (фактическое значение)
4502;фактическая стоимость вызова скорой помощи без учета расходов на оплату труда и начислений на оплату труда
4503;фактическая стоимость одного койко-дня в государственных (муниципальных) учреждениях здравоохранения без учета расходов на оплату труда и начислений на оплату труда
4504;фактическая стоимость территориальной программы обязательного медицинского страхования
4505;фактические расходы консолидированного бюджета субъекта российской федерации на территориальную программу государственных гарантий бесплатного оказания гражданам медицинской помощи 
4506;отношение численности безработных граждан, зарегистрированных в органах службы занятости, к общей численности безработных граждан (по методологии международной организации труда)
4507;удельный вес трудоустроенных граждан в общей численности, обратившихся за содействием в поиске подходящей работы в органы службы занятости населения
4508;уровень регистрируемой безработицы
4509;численность безработных граждан, зарегистрированных в государственных учреждениях службы занятости и получающих пособие по безработице на конец отчетного периода
4510;численность безработных граждан, зарегистрированных в государственных учреждениях службы занятости населения
4511;численность безработных граждан, зарегистрированных в государственных учреждениях службы занятости населения и получающих социальные выплаты
4512;количество коллективных трудовых споров
4513;количество урегулированных трудовых споров при содействии роструда и органов исполнительной власти субъектов российской федерации
4514;количество зарегистрированных несчастных случаев на производстве
4515;количество пострадавших со смертельным исходом в результате зарегистрированных несчастных случаев на производстве
4516;численность граждан, проходящих альтернативную гражданскую службу
4517;выявлено нарушений по вопросам оплаты и нормирования труда
4518;количество выявленных нарушений трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права
4519;произведено расходов из бюджетов субъектов российской федерации на осуществление социальных выплат гражданам, признанным в установленном порядке безработными
4520;общее количество административных наказаний, наложенных по итогам проверок соблюдения трудового законодательства
4521;общее количество предписаний выданных по итогам проверок соблюдения трудового законодательства
4522;общее количество проверок соблюдения трудового законодательства
4523;количество вновь вышедших книжных изданий
4524;тираж поступивших книг и брошюр
4525;число печатных листов-оттисков книг и брошюр
4526;число поступивших книг и брошюр (печатных единиц)
4527;общий годовой тираж издания газет (поступивших за отчётный период) по субъектам рф
4528;общий годовой тираж издания журналов и других периодических изданий (поступивших за отчётный период) по субъектам рф
4529;средний разовый тираж издания газет (поступивших за отчётный период) по субъектам рф
4530;средний разовый тираж издания журналов и других периодических изданий (поступивших за отчётный период) по субъектам рф
4531;число поступивших газет (изданий) по субъектам рф
4532;число поступивших журналов и других периодических изданий (включая сборники и бюллетени, выходящие периодически) по субъектам рф
4533;достижение 'цифровой зрелости' ключевых отраслей экономики и социальной сферы, в том числе здравоохранения и образования, а также государственного управления
4534;увеличение доли массовых социально значимых услуг, доступных в электронном виде, до 95 процентов
4535;рост доли домохозяйств, которым обеспечена возможность широкополосного доступа к информационно-телекоммуникационной сети 'интернет', до 97 процентов
4536;увеличение вложений в отечественные решения в сфере информационных технологий в 4 раза по сравнению с показателем 2019 года
4537;использование  результатов интеллектуальной деятельности по федеральным округам российской федерации
4538;выдача патентов и свидетельств на результаты интеллектуальной деятельности, средства индивидуализации по россии, федеральным округам и субъектам российской федерации
4539;подача российскими заявителями заявок на государственную регистрацию результатов интеллектуальной деятельности и средств индивидуализации по россии, федеральным округам и субъектам российской федерации                                                                                                        ,                                                     
4540;выпуск специалистов государственными и муниципальными образовательными организациях высшего образования
4541;выпуск специалистов из частных образовательных организаций высшего образования
4542;выпуск специалистов очной формы обучения (кроме обучавшихся с полным возмещением затрат на обучение) государственными и муниципальными образовательными организациями высшего образования
4543;принято студентов в государственные и муниципальные образовательные организации  высшего образования
4544;принято студентов в частные образовательные организации высшего образования
4545;численность выпускников очной формы обучения (кроме обучавшихся с полным возмещением затрат на обучение) государственных и муниципальных образовательных организаций  высшего образования, которым по их желанию предоставлено право свободного трудоустройства
4546;численность выпускников очной формы обучения (кроме обучавшихся с полным возмещением затрат на обучение) государственных и муниципальных образовательных организаций высшего образования, не получивших направления на работу
4547;численность выпускников очной формы обучения (кроме обучавшихся с полным возмещением затрат на обучение) государственных и муниципальных образовательных организаций высшего образования, получивших направления на работу
